Date : 2021-10-14 19:21:54
Directory : r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src
Total : 75 files,  10070 codes, 444 comments, 523 blanks, all 11037 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\tree.svg                           | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\user.svg                           | XML        |          1 |          0 |          0 |          1 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svgo.yml                               | YAML       |          5 |         13 |          5 |         23 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\AppMain.vue                | Vue.js     |         35 |          2 |          4 |         41 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Navbar.vue                 | Vue.js     |        116 |          0 |         18 |        134 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\FixiOSBug.js       | JavaScript |         24 |          2 |          1 |         27 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Item.vue           | Vue.js     |         38 |          0 |          4 |         42 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Link.vue           | Vue.js     |         41 |          0 |          3 |         44 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Logo.vue           | Vue.js     |         74 |          0 |          9 |         83 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\SidebarItem.vue    | Vue.js     |         83 |          6 |          7 |         96 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\index.vue          | Vue.js     |         53 |          1 |          3 |         57 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\index.js                   | JavaScript |          3 |          0 |          1 |          4 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\index.vue                             | Vue.js     |         86 |          0 |          8 |         94 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\mixin\ResizeHandler.js                | JavaScript |         40 |          2 |          4 |         46 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\main.js                                      | JavaScript |         18 |          1 |          9 |         28 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\permission.js                                | JavaScript |         58 |         16 |          9 |         83 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\router\index.js                              | JavaScript |        167 |          7 |         20 |        194 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\settings.js                                  | JavaScript |          5 |          8 |          4 |         17 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\getters.js                             | JavaScript |         11 |          0 |          1 |         12 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\index.js                               | JavaScript |         18 |          0 |          4 |         22 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\app.js                         | JavaScript |         44 |          0 |          5 |         49 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\permission.js                  | JavaScript |         46 |         14 |          5 |         65 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\settings.js                    | JavaScript |         25 |          1 |          6 |         32 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\user.js                        | JavaScript |         86 |          5 |         13 |        104 |
